Id,Fecha,Año,Mes,Día,Día_Semana,Hora completa,Hora,Numero_víctimas,Participantes,Rol,Acusado,Victima,Sexo,Edad,Rango_etario,Fecha_fallecimiento,Lugar_del_hecho,Tipo_de_calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada_x,Coordenada_y,Pos x,Pos y,Semestre
2016-0150,2016-11-18,2016,11,18,Viernes,18:20:00,18,1,CARGAS-CARGAS,PASAJERO_ACOMPAÑANTE,CARGAS,CARGAS,MASCULINO,41,Entre 41-60,2016-11-18 00:00:00,AV AMANCIO ALCORTA Y DIOGENES TABORDA,AVENIDA,"ALCORTA, AMANCIO AV.","TABORDA, DIOGENES","ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,104996.91619776,97395.92929535,-58.40879146,-34.65273216,2016-2
2016-0151,,,0,0,,,,0,,PEATON,,,SD,,,SD,,,,,,0,,,,,,<NA>-1
2016-0152,2016-11-23,2016,11,23,Miercoles,21:10:00,21,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,42,Entre 41-60,2016-11-24 00:00:00,AV PERITO MORENO Y ZUVIRIA,AVENIDA,"MORENO, PERITO AV.",ZUVIRIA,"MORENO, PERITO AV. y ZUVIRIA",7,FLORES - PARQUE CHACABUCO,99888.30162107,97709.2745206,-58.46451841,-34.64991946,2016-2
2016-0153,2016-11-25,2016,11,25,Viernes,15:42:00,15,1,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,83,Más de 80,2016-11-25 00:00:00,ARAOZ Y AV CORDOBA,AVENIDA,ARAOZ,CORDOBA AV.,ARAOZ y CORDOBA AV.,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,103130.82393478,103817.27945358,-58.42917090,-34.59485488,2016-2
2016-0154,2016-11-26,2016,11,26,Sabado,14:14:00,14,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,MASCULINO,38, Entre 21- 40,SD,AV GRAL PAZ 15200,GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 15200",8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,97546.12845734,94093.36420523,-58.49007772,-34.68251141,2016-2
2016-0155,2016-11-26,2016,11,26,Sabado,16:50:00,16,1,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,29, Entre 21- 40,SD,MADERO 900,CALLE,MADERO,,MADERO 900,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,94107.02905618,100169.73297345,-58.52756365,-34.62772274,2016-2
2016-0156,2016-11-26,2016,11,26,Sabado,19:40:00,19,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,23, Entre 21- 40,2016-11-30 00:00:00,AV INDEPENDENCIA Y DEAN FUNES,AVENIDA,INDEPENDENCIA AV.,DEAN FUNES,INDEPENDENCIA AV. y DEAN FUNES,3,BALVANERA - SAN CRISTOBAL,105219.14271583,101089.92439911,-58.40638983,-34.61943202,2016-2
2016-0157,2016-12-03,2016,12,3,Sabado,06:40:00,6,1,MOTO-MOTO,CONDUCTOR,MOTO,MOTO,MASCULINO,23, Entre 21- 40,SD,AV JUAN B JUSTO 5645,AVENIDA,"JUSTO, JUAN B. AV.",,"JUSTO, JUAN B. AV. 5645",11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,98856.51878317,101315.60184716,-58.47576807,-34.61740997,2016-2
2016-0159,2016-12-04,2016,12,4,Domingo,07:21:00,7,1,AUTO-SD,CONDUCTOR,SD,AUTO,MASCULINO,23, Entre 21- 40,SD,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,101721.59002217,93844.25656649,-58.44451316,-34.68475866,2016-2
2016-0160,2016-12-06,2016,12,6,Martes,05:30:00,5,1,CARGAS-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,CARGAS,MASCULINO,29, Entre 21- 40,2016-12-06 00:00:00,AUTOPISTA PERITO MORENO ALTURA VELZ,AUTOPISTA,AUTOPISTA PERITO MORENO,,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,LINIERS - MATADEROS - PARQUE AVELLANEDA,94867.91408532,99212.26216105,-58.51927194,-34.63635787,2016-2
2016-0161,2016-12-06,2016,12,6,Martes,07:22:00,7,1,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,50,Entre 41-60,2016-12-06 00:00:00,AV SANTA FE Y GODOY CRUZ,AVENIDA,SANTA FE AV.,GODOY CRUZ,SANTA FE AV. y GODOY CRUZ,14,PALERMO,103490.75904616,105613.31878847,-58.42525456,-34.57866344,2016-2
2016-0162,2016-12-07,2016,12,7,Miercoles,05:00:00,5,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,38, Entre 21- 40,2017-01-01 00:00:00,AV FEDERICO LACROZE Y AV FOREST,AVENIDA,"LACROZE, FEDERICO AV.",FOREST AV.,"LACROZE, FEDERICO AV. y FOREST AV.",15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,100856.34310085,104890.83521057,-58.45396573,-34.58518167,2016-2
2016-0163,2016-12-10,2016,12,10,Sabado,07:30:00,7,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,23, Entre 21- 40,SD,AV GRAL PAZ Y AV GENERAL MOSCONI,GRAL PAZ,"PAZ, GRAL. AV.",MOSCONI GENERAL AV.,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,94486.28631712,103468.59928582,-58.52340614,-34.59798754,2016-2
